dialogue_id,locale,line_index,speaker_role,text,category,usage_scope,enabled,full_text,source_id,source_text
phrase_text_0313,th,0,speaker,เป็นเรื่องเกี่ยวกับ <0> งั้น...,tv_specific,template,false,เป็นเรื่องเกี่ยวกับ <0> งั้น...,tv.text.L0313,"It's about <0>, so..."
phrase_text_0314,en,0,speaker,Hope there's something good.,work_progress,office,false,Hope there's something good.,tv.text.L0314,Hope there's something good.
phrase_text_0314,th,0,speaker,ขอให้มีของดี,work_progress,office,true,หวังว่าจะมีอะไรดี ๆ นะ,tv.text.L0314,Hope there's something good.
phrase_text_0315,en,0,speaker,It's all in the little details...,work_progress,office,false,It's all in the little details...,tv.text.L0315,It's all in the little details...
phrase_text_0315,th,0,speaker,เก็บรายละเอียด,work_progress,office,true,รายละเอียดเล็ก ๆ นี่แหละสำคัญ...,tv.text.L0315,It's all in the little details...
phrase_text_0316,en,0,speaker,This is going to be fun.,anticipation,office,false,This is going to be fun.,tv.text.L0316,This is going to be fun.
phrase_text_0316,th,0,speaker,ต้องสนุกแน่,anticipation,office,true,งานนี้ต้องสนุกแน่,tv.text.L0316,This is going to be fun.
phrase_text_0317,en,0,speaker,Keep it up!,encouragement,office,true,<po=m><co=1c25ef>Keep it up!,tv.text.L0317,<po=m><co=1c25ef>Keep it up!
phrase_text_0317,th,0,speaker,สู้ ๆ!,encouragement,office,true,ทำต่อไป สู้ ๆ!,tv.text.L0317,<po=m><co=1c25ef>Keep it up!
phrase_text_0318,en,0,speaker,We're not done yet!,work_progress,office,false,<po=m><co=1c25ef>We're not done yet!,tv.text.L0318,<po=m><co=1c25ef>We're not done yet!
phrase_text_0318,th,0,speaker,ยังไม่เสร็จนะ!,work_progress,office,true,เรายังไม่เสร็จเลยนะ!,tv.text.L0318,<po=m><co=1c25ef>We're not done yet!
phrase_text_0319,en,0,speaker,<0>... How original!,tv_specific,template,false,<0>... How original!,tv.text.L0319,<0>... How original!
phrase_text_0319,th,0,speaker,<0>... แปลกใหม่ดี!,tv_specific,template,false,<0>... แปลกใหม่ดี!,tv.text.L0319,<0>... How original!
phrase_text_0320,en,0,speaker,"<0>, huh? Nice.",tv_specific,template,false,"<0>, huh? Nice.",tv.text.L0320,"<0>, huh? Nice."
phrase_text_0320,th,0,speaker,<0> งั้นเหรอ? ดีเลย,tv_specific,template,false,<0> งั้นเหรอ? ดีเลย,tv.text.L0320,"<0>, huh? Nice."
phrase_text_0321,en,0,speaker,"The theme is <0>, so...",tv_specific,template,false,"The theme is <0>, so...",tv.text.L0321,"The theme is <0>, so..."
phrase_text_0321,th,0,speaker,ธีมคือ <0> งั้น...,tv_specific,template,false,ธีมคือ <0> งั้น...,tv.text.L0321,"The theme is <0>, so..."
phrase_text_0322,en,0,speaker,"For the <0> theme, we can...",tv_specific,template,false,"For the <0> theme, we can...",tv.text.L0322,"For the <0> theme, we can..."
phrase_text_0322,th,0,speaker,ถ้าเป็นธีม <0> เราก็...,tv_specific,template,false,ถ้าเป็นธีม <0> เราก็...,tv.text.L0322,"For the <0> theme, we can..."
phrase_text_0323,en,0,speaker,I'm getting hungry...,food_drink,context_only,false,I'm getting hungry...,tv.text.L0323,I'm getting hungry...
phrase_text_0323,th,0,speaker,หิวแล้ว...,food_drink,context_only,false,เริ่มหิวแล้ว...,tv.text.L0323,I'm getting hungry...
phrase_text_0324,en,0,speaker,"Oh, now this is something!",work_progress,office,false,"Oh, now this is something!",tv.text.L0324,"Oh, now this is something!"
phrase_text_0324,th,0,speaker,อันนี้เข้าท่า!,work_progress,office,true,โอ้ อันนี้น่าสนใจเลย!,tv.text.L0324,"Oh, now this is something!"
phrase_text_0325,en,0,speaker,I like it. Let's go with this!,work_progress,office,false,I like it. Let's go with this!,tv.text.L0325,I like it. Let's go with this!
phrase_text_0325,th,0,speaker,เอาแบบนี้เลย!,work_progress,office,true,ชอบเลย เอาแบบนี้แหละ!,tv.text.L0325,I like it. Let's go with this!
phrase_text_0326,en,0,speaker,What a concept!,praise,office,false,What a concept!,tv.text.L0326,What a concept!
phrase_text_0326,th,0,speaker,ไอเดียเจ๋ง!,praise,office,true,ไอเดียนี้เจ๋งจริง ๆ!,tv.text.L0326,What a concept!
phrase_text_0327,en,0,speaker,I've got some good material.,work_progress,office,false,I've got some good material.,tv.text.L0327,I've got some good material.
phrase_text_0327,th,0,speaker,ได้เนื้อหาดีแล้ว,work_progress,office,true,ได้เนื้อหาดี ๆ มาแล้ว,tv.text.L0327,I've got some good material.
phrase_text_0328,en,0,speaker,Coming together nicely.,work_progress,office,false,Coming together nicely.,tv.text.L0328,Coming together nicely.
phrase_text_0328,th,0,speaker,เริ่มลงตัวแล้ว,work_progress,office,true,เริ่มเป็นรูปเป็นร่างแล้ว,tv.text.L0328,Coming together nicely.
phrase_text_0329,en,0,speaker,It's all coming together.,work_progress,office,false,It's all coming together.,tv.text.L0329,It's all coming together.
phrase_text_0329,th,0,speaker,ลงตัวแล้ว,work_progress,office,true,ทุกอย่างเริ่มลงตัวแล้ว,tv.text.L0329,It's all coming together.
phrase_text_0330,en,0,speaker,I just need a bit more...,work_progress,office,false,I just need a bit more...,tv.text.L0330,I just need a bit more...
phrase_text_0330,th,0,speaker,อีกนิดเดียว...,work_progress,office,true,ขออีกนิดเดียว...,tv.text.L0330,I just need a bit more...
phrase_text_0331,en,0,speaker,Tweaking the details...,work_progress,office,false,Tweaking the details...,tv.text.L0331,Tweaking the details...
phrase_text_0331,th,0,speaker,ปรับอีกนิด...,work_progress,office,true,กำลังปรับรายละเอียด...,tv.text.L0331,Tweaking the details...
phrase_text_0332,en,0,speaker,"Now, the finishing touches.",work_progress,office,false,"Now, the finishing touches.",tv.text.L0332,"Now, the finishing touches."
phrase_text_0332,th,0,speaker,เก็บงานอีกนิด,work_progress,office,true,เก็บงานขั้นสุดท้ายแล้ว,tv.text.L0332,"Now, the finishing touches."
phrase_text_0333,en,0,speaker,Hm... Nice idea!,praise,office,false,Hm... Nice idea!,tv.text.L0333,Hm... Nice idea!
phrase_text_0333,th,0,speaker,ไอเดียดีนะ!,praise,office,true,อืม... ไอเดียดีนะ!,tv.text.L0333,Hm... Nice idea!
phrase_text_0334,en,0,speaker,Hm... Looking good!,praise,office,false,Hm... Looking good!,tv.text.L0334,Hm... Looking good!
phrase_text_0334,th,0,speaker,ดูดีเลย!,praise,office,true,อืม... ดูดีเลย!,tv.text.L0334,Hm... Looking good!
phrase_text_0335,en,0,speaker,Hm... Not bad at all!,praise,office,false,Hm... Not bad at all!,tv.text.L0335,Hm... Not bad at all!
phrase_text_0335,th,0,speaker,ไม่เลวเลย!,praise,office,true,อืม... ไม่เลวเลยนะ!,tv.text.L0335,Hm... Not bad at all!
phrase_text_0336,en,0,speaker,Piece of cake!,work_start,office,true,Piece of cake!,tv.text.L0336,Piece of cake!
phrase_text_0336,th,0,speaker,ง่ายนิดเดียว!,work_start,office,true,ง่ายนิดเดียว!,tv.text.L0336,Piece of cake!
phrase_text_0337,en,0,speaker,Bam! It's done!,work_complete,office,true,Bam! It's done!,tv.text.L0337,Bam! It's done!
phrase_text_0337,th,0,speaker,ปัง! เสร็จแล้ว!,work_complete,office,true,ปัง! เสร็จแล้ว!,tv.text.L0337,Bam! It's done!
phrase_text_0338,en,0,speaker,In there like swimwear!,work_complete,office,false,In there like swimwear!,tv.text.L0338,In there like swimwear!
phrase_text_0338,th,0,speaker,ลงตัวเป๊ะ!,work_complete,office,true,เรียบร้อย ลงตัวเป๊ะ!,tv.text.L0338,In there like swimwear!
phrase_text_0339,en,0,speaker,Phew... That's a wrap.,work_complete,office,false,Phew... That's a wrap.,tv.text.L0339,Phew... That's a wrap.
phrase_text_0339,th,0,speaker,เฮ้อ เสร็จแล้ว,work_complete,office,true,เฮ้อ... เสร็จงานแล้ว,tv.text.L0339,Phew... That's a wrap.
phrase_text_0340,en,0,speaker,That should do it.,work_complete,office,false,That should do it.,tv.text.L0340,That should do it.
phrase_text_0340,th,0,speaker,น่าจะพอแล้ว,work_complete,office,true,เท่านี้น่าจะพอแล้ว,tv.text.L0340,That should do it.
phrase_text_0341,en,0,speaker,This'll be a good one!,anticipation,office,false,This'll be a good one!,tv.text.L0341,This'll be a good one!
phrase_text_0341,th,0,speaker,ต้องออกมาดีแน่!,anticipation,office,true,งานนี้ต้องออกมาดีแน่!,tv.text.L0341,This'll be a good one!
phrase_text_0342,en,0,speaker,Turned out better than I thought.,work_complete,office,false,Turned out better than I thought.,tv.text.L0342,Turned out better than I thought.
phrase_text_0342,th,0,speaker,ดีกว่าที่คิด!,work_complete,office,true,ออกมาดีกว่าที่คิดอีก,tv.text.L0342,Turned out better than I thought.
phrase_text_0343,en,0,speaker,Got a good feeling about this.,anticipation,office,false,Got a good feeling about this.,tv.text.L0343,Got a good feeling about this.
phrase_text_0343,th,0,speaker,มีแววดีนะ,anticipation,office,true,รู้สึกว่างานนี้จะไปได้สวย,tv.text.L0343,Got a good feeling about this.
phrase_text_0366,en,0,speaker,Congrats!,praise,office,true,Congrats!,tv.text.L0366,Congrats!
phrase_text_0366,th,0,speaker,ยินดีด้วย!,praise,office,true,ยินดีด้วย!,tv.text.L0366,Congrats!
phrase_text_0402,en,0,speaker,Here we go...,work_start,office,true,Here we go...,tv.text.L0402,Here we go...
phrase_text_0402,th,0,speaker,เริ่มกันเลย...,work_start,office,true,เอาล่ะ เริ่มกัน...,tv.text.L0402,Here we go...
phrase_text_0404,en,0,speaker,Finished!,work_complete,office,true,Finished!,tv.text.L0404,Finished!
phrase_text_0404,th,0,speaker,เสร็จแล้ว!,work_complete,office,true,เสร็จแล้ว!,tv.text.L0404,Finished!
phrase_text_0499,en,0,speaker,Hmm...,work_progress,office,true,Hmm...,tv.text.L0499,Hmm...
phrase_text_0499,th,0,speaker,อืม...,work_progress,office,true,อืม...,tv.text.L0499,Hmm...
phrase_text_0597,en,0,speaker,Leave it to me!,work_start,office,false,Leave it to me!,tv.text.L0597,Leave it to me!
phrase_text_0597,th,0,speaker,ฉันจัดการเอง!,work_start,office,true,ไว้ใจได้เลย ฝากฉันจัดการเอง!,tv.text.L0597,Leave it to me!
phrase_text_0598,en,0,speaker,This isn't really my area...,uncertainty,office,false,This isn't really my area...,tv.text.L0598,This isn't really my area...
phrase_text_0598,th,0,speaker,ไม่ค่อยถนัด...,uncertainty,office,true,เรื่องนี้ไม่ค่อยถนัดเลย...,tv.text.L0598,This isn't really my area...
phrase_text_0599,en,0,speaker,I'll do my best.,work_start,office,true,I'll do my best.,tv.text.L0599,I'll do my best.
phrase_text_0599,th,0,speaker,จะทำให้เต็มที่,work_start,office,true,จะทำให้ดีที่สุด,tv.text.L0599,I'll do my best.
phrase_text_0602,en,0,speaker,Thanks!,conversation_reply,office,true,Thanks!,tv.text.L0602,Thanks!
phrase_text_0602,th,0,speaker,ขอบคุณ!,conversation_reply,office,true,ขอบคุณ!,tv.text.L0602,Thanks!
phrase_text_0619,en,0,speaker,*gulp*,uncertainty,office,true,*gulp*,tv.text.L0619,*gulp*
phrase_text_0619,th,0,speaker,เอื๊อก...,uncertainty,office,true,เอื๊อก...,tv.text.L0619,*gulp*
phrase_text_0620,en,0,speaker,"Aw, man...",disappointment,office,true,"Aw, man...",tv.text.L0620,"Aw, man..."
phrase_text_0620,th,0,speaker,โธ่เอ๊ย...,disappointment,office,true,โธ่เอ๊ย...,tv.text.L0620,"Aw, man..."
phrase_text_0621,en,0,speaker,Let's do this.,work_start,office,true,Let's do this.,tv.text.L0621,Let's do this.
phrase_text_0621,th,0,speaker,มาลุยกัน,work_start,office,true,มาลุยกัน,tv.text.L0621,Let's do this.
phrase_text_0622,en,0,speaker,Nice!,praise,office,true,Nice!,tv.text.L0622,Nice!
phrase_text_0622,th,0,speaker,ดีเลย!,praise,office,true,ดีเลย!,tv.text.L0622,Nice!
phrase_text_0623,en,0,speaker,Woohoo!,celebration,office,true,Woohoo!,tv.text.L0623,Woohoo!
phrase_text_0623,th,0,speaker,วู้ฮู!,celebration,office,true,วู้ฮู!,tv.text.L0623,Woohoo!
phrase_text_0624,en,0,speaker,Can't wait.,anticipation,office,true,Can't wait.,tv.text.L0624,Can't wait.
phrase_text_0624,th,0,speaker,รอไม่ไหวแล้ว,anticipation,office,true,รอไม่ไหวแล้ว,tv.text.L0624,Can't wait.
phrase_text_0685,en,0,speaker,Well done!,praise,office,true,Well done!,tv.text.L0685,Well done!
phrase_text_0685,th,0,speaker,เก่งมาก!,praise,office,true,ทำได้ดีมาก!,tv.text.L0685,Well done!
phrase_text_0689,en,0,speaker,Something might be here...,work_progress,context_only,false,Something might be here...,tv.text.L0689,Something might be here...
phrase_text_0689,th,0,speaker,ตรงนี้มีอะไรนะ,work_progress,context_only,false,อาจมีอะไรอยู่ตรงนี้...,tv.text.L0689,Something might be here...
phrase_text_0856,en,0,speaker,Yes!,conversation_reply,office,true,Yes!,tv.text.L0856,Yes!
phrase_text_0856,th,0,speaker,ได้เลย!,conversation_reply,office,true,ได้เลย!,tv.text.L0856,Yes!
phrase_text_0857,en,0,speaker,Thanks.,conversation_reply,office,true,Thanks.,tv.text.L0857,Thanks.
phrase_text_0857,th,0,speaker,ขอบคุณนะ,conversation_reply,office,true,ขอบคุณนะ,tv.text.L0857,Thanks.
phrase_text_0858,en,0,speaker,I'll get going.,leaving,office,true,I'll get going.,tv.text.L0858,I'll get going.
phrase_text_0858,th,0,speaker,ไปก่อนนะ,leaving,office,true,งั้นไปก่อนนะ,tv.text.L0858,I'll get going.
phrase_text_0859,en,0,speaker,Woohoo!,celebration,office,true,Woohoo!,tv.text.L0859,Woohoo!
phrase_text_0859,th,0,speaker,วู้ฮู!,celebration,office,true,วู้ฮู!,tv.text.L0859,Woohoo!
phrase_text_0860,en,0,speaker,Oops...,disappointment,office,true,Oops...,tv.text.L0860,Oops...
phrase_text_0860,th,0,speaker,อุ๊ย...,disappointment,office,true,อุ๊ย พลาดแล้ว...,tv.text.L0860,Oops...
phrase_text_0861,en,0,speaker,Good job.,praise,office,true,Good job.,tv.text.L0861,Good job.
phrase_text_0861,th,0,speaker,เก่งมาก,praise,office,true,ทำได้ดีมาก,tv.text.L0861,Good job.
phrase_text_0862,en,0,speaker,"Hey, listen!",conversation_open,office,true,"Hey, listen!",tv.text.L0862,"Hey, listen!"
phrase_text_0862,th,0,speaker,นี่ ฟังหน่อย!,conversation_open,office,true,นี่ ฟังหน่อยสิ!,tv.text.L0862,"Hey, listen!"
phrase_text_0863,en,0,speaker,Hmm...,work_progress,office,true,Hmm...,tv.text.L0863,Hmm...
phrase_text_0863,th,0,speaker,อืม...,work_progress,office,true,อืม...,tv.text.L0863,Hmm...
phrase_text_0864,en,0,speaker,I see!,conversation_reply,office,true,I see!,tv.text.L0864,I see!
phrase_text_0864,th,0,speaker,เข้าใจแล้ว!,conversation_reply,office,true,เข้าใจแล้ว!,tv.text.L0864,I see!
phrase_text_0865,en,0,speaker,What?!,surprise,office,true,What?!,tv.text.L0865,What?!
phrase_text_0865,th,0,speaker,ว่าไงนะ?!,surprise,office,true,ว่าไงนะ?!,tv.text.L0865,What?!
phrase_text_0866,en,0,speaker,Here you go.,conversation_reply,context_only,false,Here you go.,tv.text.L0866,Here you go.
phrase_text_0866,th,0,speaker,นี่ รับไป,conversation_reply,context_only,false,นี่ ให้เธอ,tv.text.L0866,Here you go.
phrase_text_0867,en,0,speaker,Let's do this!,work_start,office,true,Let's do this!,tv.text.L0867,Let's do this!
phrase_text_0867,th,0,speaker,ลุยกันเลย!,work_start,office,true,มาลุยกันเลย!,tv.text.L0867,Let's do this!
phrase_text_0868,en,0,speaker,Almost there.,work_progress,office,true,Almost there.,tv.text.L0868,Almost there.
phrase_text_0868,th,0,speaker,ใกล้เสร็จแล้ว,work_progress,office,true,ใกล้เสร็จแล้ว,tv.text.L0868,Almost there.
phrase_text_0869,en,0,speaker,I'm beat.,fatigue,office,true,I'm beat.,tv.text.L0869,I'm beat.
phrase_text_0869,th,0,speaker,เหนื่อยจัง,fatigue,office,true,เหนื่อยหมดแรงแล้ว,tv.text.L0869,I'm beat.
phrase_text_0870,en,0,speaker,See you.,leaving,office,true,See you.,tv.text.L0870,See you.
phrase_text_0870,th,0,speaker,แล้วเจอกัน,leaving,office,true,แล้วเจอกันนะ,tv.text.L0870,See you.
phrase_text_0871,en,0,speaker,Morning!,greeting,office,true,Morning!,tv.text.L0871,Morning!
phrase_text_0871,th,0,speaker,อรุณสวัสดิ์!,greeting,office,true,อรุณสวัสดิ์!,tv.text.L0871,Morning!
phrase_text_0872,en,0,speaker,Hello!,greeting,office,true,Hello!,tv.text.L0872,Hello!
phrase_text_0872,th,0,speaker,สวัสดี!,greeting,office,true,สวัสดี!,tv.text.L0872,Hello!
phrase_text_0873,en,0,speaker,What is it?,conversation_reply,office,true,What is it?,tv.text.L0873,What is it?
phrase_text_0873,th,0,speaker,มีอะไรเหรอ?,conversation_reply,office,true,มีอะไรเหรอ?,tv.text.L0873,What is it?
phrase_text_0874,en,0,speaker,Let's go!,work_start,office,true,Let's go!,tv.text.L0874,Let's go!
phrase_text_0874,th,0,speaker,ไปกันเถอะ!,work_start,office,true,ไปกันเถอะ!,tv.text.L0874,Let's go!
phrase_text_0875,en,0,speaker,"C'mon, relax.",encouragement,office,true,"C'mon, relax.",tv.text.L0875,"C'mon, relax."
phrase_text_0875,th,0,speaker,ใจเย็น ๆ นะ,encouragement,office,true,เอาน่า ผ่อนคลายหน่อย,tv.text.L0875,"C'mon, relax."
phrase_text_0876,en,0,speaker,Watch this!,work_start,office,true,Watch this!,tv.text.L0876,Watch this!
phrase_text_0876,th,0,speaker,ดูให้ดีนะ!,work_start,office,true,ดูให้ดีนะ!,tv.text.L0876,Watch this!
phrase_text_0877,en,0,speaker,My turn.,work_start,office,true,My turn.,tv.text.L0877,My turn.
phrase_text_0877,th,0,speaker,ตาฉันแล้ว,work_start,office,true,ตาฉันแล้ว,tv.text.L0877,My turn.
phrase_text_0878,en,0,speaker,Gotcha!,conversation_reply,office,true,Gotcha!,tv.text.L0878,Gotcha!
phrase_text_0878,th,0,speaker,เข้าใจแล้ว!,conversation_reply,office,true,เข้าใจแล้ว!,tv.text.L0878,Gotcha!
phrase_text_0879,en,0,speaker,Goal!,tv_specific,context_only,false,Goal!,tv.text.L0879,Goal!
phrase_text_0879,th,0,speaker,เข้าโกล!,tv_specific,context_only,false,เข้าโกลแล้ว!,tv.text.L0879,Goal!
phrase_text_0880,en,0,speaker,Cool!,praise,office,true,Cool!,tv.text.L0880,Cool!
phrase_text_0880,th,0,speaker,เจ๋งเลย!,praise,office,true,เจ๋งเลย!,tv.text.L0880,Cool!
phrase_text_0881,en,0,speaker,I dunno...,uncertainty,office,true,I dunno...,tv.text.L0881,I dunno...
phrase_text_0881,th,0,speaker,ไม่รู้สิ...,uncertainty,office,true,ไม่รู้เหมือนกัน...,tv.text.L0881,I dunno...
phrase_text_0882,en,0,speaker,Done!,work_complete,office,true,Done!,tv.text.L0882,Done!
phrase_text_0882,th,0,speaker,เสร็จแล้ว!,work_complete,office,true,เสร็จแล้ว!,tv.text.L0882,Done!
phrase_text_0883,en,0,speaker,"Wow, amazing!",praise,office,false,"Wow, amazing!",tv.text.L0883,"Wow, amazing!"
phrase_text_0883,th,0,speaker,สุดยอดเลย!,praise,office,true,ว้าว สุดยอดเลย!,tv.text.L0883,"Wow, amazing!"
phrase_text_0884,en,0,speaker,Boring...,disappointment,context_only,false,Boring...,tv.text.L0884,Boring...
phrase_text_0884,th,0,speaker,น่าเบื่อ...,disappointment,context_only,false,น่าเบื่อจัง...,tv.text.L0884,Boring...
phrase_text_0885,en,0,speaker,Incredible!,praise,office,true,Incredible!,tv.text.L0885,Incredible!
phrase_text_0885,th,0,speaker,เหลือเชื่อ!,praise,office,true,เหลือเชื่อเลย!,tv.text.L0885,Incredible!
phrase_text_0886,en,0,speaker,How nice!,praise,office,true,How nice!,tv.text.L0886,How nice!
phrase_text_0886,th,0,speaker,ดีจังเลย!,praise,office,true,ดีจังเลย!,tv.text.L0886,How nice!
phrase_text_0887,en,0,speaker,Hm...,work_progress,office,true,Hm...,tv.text.L0887,Hm...
phrase_text_0887,th,0,speaker,อืม...,work_progress,office,true,อืม...,tv.text.L0887,Hm...
phrase_text_0888,en,0,speaker,Let's go home.,leaving,office,true,Let's go home.,tv.text.L0888,Let's go home.
phrase_text_0888,th,0,speaker,กลับบ้านกัน,leaving,office,true,กลับบ้านกันเถอะ,tv.text.L0888,Let's go home.
phrase_text_0889,en,0,speaker,Very good.,praise,office,true,Very good.,tv.text.L0889,Very good.
phrase_text_0889,th,0,speaker,ดีมากเลย,praise,office,true,ดีมากเลย,tv.text.L0889,Very good.
phrase_text_0890,en,0,speaker,Of course!,conversation_reply,office,true,Of course!,tv.text.L0890,Of course!
phrase_text_0890,th,0,speaker,แน่นอน!,conversation_reply,office,true,แน่นอนอยู่แล้ว!,tv.text.L0890,Of course!
phrase_text_0891,en,0,speaker,Congrats!,praise,office,true,Congrats!,tv.text.L0891,Congrats!
phrase_text_0891,th,0,speaker,ยินดีด้วย!,praise,office,true,ยินดีด้วย!,tv.text.L0891,Congrats!
phrase_text_0892,en,0,speaker,Haha!,conversation_reply,office,true,Haha!,tv.text.L0892,Haha!
phrase_text_0892,th,0,speaker,ฮ่า ๆ!,conversation_reply,office,true,ฮ่า ๆ!,tv.text.L0892,Haha!
phrase_text_0893,en,0,speaker,Heehee.,conversation_reply,office,true,Heehee.,tv.text.L0893,Heehee.
phrase_text_0893,th,0,speaker,ฮิฮิ,conversation_reply,office,true,ฮิฮิ,tv.text.L0893,Heehee.
phrase_text_0894,en,0,speaker,Wow!,surprise,office,true,Wow!,tv.text.L0894,Wow!
phrase_text_0894,th,0,speaker,ว้าว!,surprise,office,true,ว้าว!,tv.text.L0894,Wow!
phrase_text_0895,en,0,speaker,Oh my gosh!,surprise,office,true,Oh my gosh!,tv.text.L0895,Oh my gosh!
phrase_text_0895,th,0,speaker,โอ้โห!,surprise,office,true,โอ้โห!,tv.text.L0895,Oh my gosh!
phrase_text_0896,en,0,speaker,Can't wait.,anticipation,office,true,Can't wait.,tv.text.L0896,Can't wait.
phrase_text_0896,th,0,speaker,รอไม่ไหวแล้ว,anticipation,office,true,รอไม่ไหวแล้ว,tv.text.L0896,Can't wait.
phrase_text_0897,en,0,speaker,Yum...,food_drink,context_only,false,Yum...,tv.text.L0897,Yum...
phrase_text_0897,th,0,speaker,อร่อยจัง...,food_drink,context_only,false,อร่อยจัง...,tv.text.L0897,Yum...
phrase_text_0898,en,0,speaker,"Gulp, gulp...",food_drink,context_only,false,"Gulp, gulp...",tv.text.L0898,"Gulp, gulp..."
phrase_text_0898,th,0,speaker,อึก อึก...,food_drink,context_only,false,อึก อึก...,tv.text.L0898,"Gulp, gulp..."
phrase_text_0899,en,0,speaker,By the way...,conversation_open,office,true,By the way...,tv.text.L0899,By the way...
phrase_text_0899,th,0,speaker,ว่าแต่...,conversation_open,office,true,ว่าแต่...,tv.text.L0899,By the way...
phrase_text_0900,en,0,speaker,"I know, right?",conversation_reply,office,true,"I know, right?",tv.text.L0900,"I know, right?"
phrase_text_0900,th,0,speaker,ใช่ไหมล่ะ?,conversation_reply,office,true,ใช่ไหมล่ะ?,tv.text.L0900,"I know, right?"
phrase_text_0901,en,0,speaker,This is it!,work_progress,office,true,This is it!,tv.text.L0901,This is it!
phrase_text_0901,th,0,speaker,อันนี้แหละ!,work_progress,office,true,ใช่เลย อันนี้แหละ!,tv.text.L0901,This is it!
phrase_text_0902,en,0,speaker,So much fun!,conversation_reply,office,true,So much fun!,tv.text.L0902,So much fun!
phrase_text_0902,th,0,speaker,สนุกจัง!,conversation_reply,office,true,สนุกมากเลย!,tv.text.L0902,So much fun!
phrase_text_0903,en,0,speaker,Lalala!,idle_flavor,office,true,Lalala!,tv.text.L0903,Lalala!
phrase_text_0903,th,0,speaker,ลาลาลา!,idle_flavor,office,true,ลาลาลา!,tv.text.L0903,Lalala!
phrase_text_0904,en,0,speaker,La la la!,idle_flavor,office,true,La la la!,tv.text.L0904,La la la!
phrase_text_0904,th,0,speaker,ลา ลา ลา!,idle_flavor,office,true,ลา ลา ลา!,tv.text.L0904,La la la!
phrase_text_0905,en,0,speaker,♪♪♪,idle_flavor,office,true,♪♪♪,tv.text.L0905,♪♪♪
phrase_text_0905,th,0,speaker,ฮัมเพลง~,idle_flavor,office,true,ฮัมเพลง,tv.text.L0905,♪♪♪
